(12, 1696845054000, 9, 10, 2023, 0, Decimal('26123.99'), Decimal('26130.45'), Decimal('26130.45'), Decimal('26123.99'), Decimal('26123.990000000000'), 3, Decimal('0.04884'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(13, 1696845172000, 9, 10, 2023, 0, Decimal('26135.98'), Decimal('26135.98'), Decimal('26135.98'), Decimal('26135.98'), Decimal('26135.980000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(14, 1696845173000, 9, 10, 2023, 0, Decimal('26153.71'), Decimal('26153.71'), Decimal('26153.71'), Decimal('26153.71'), Decimal('26153.710000000000'), 1, Decimal('0.00309'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(15, 1696845174000, 9, 10, 2023, 0, Decimal('26155.31'), Decimal('26158.38'), Decimal('26158.38'), Decimal('26155.31'), Decimal('26155.310000000000'), 3, Decimal('0.06106'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(16, 1696846224002, 9, 10, 2023, 0, Decimal('26189.23'), Decimal('26189.23'), Decimal('26189.23'), Decimal('26189.23'), Decimal('26189.230000000000'), 2, Decimal('0.01147'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(17, 1696846225002, 9, 10, 2023, 0, Decimal('26189.23'), Decimal('26189.23'), Decimal('26189.23'), Decimal('26189.23'), Decimal('26189.230000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(18, 1696846226001, 9, 10, 2023, 0, Decimal('26188.59'), Decimal('26188.59'), Decimal('26188.59'), Decimal('26188.59'), Decimal('26188.590000000000'), 2, Decimal('0.00307'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(19, 1696846227002, 9, 10, 2023, 0, Decimal('26188.59'), Decimal('26188.59'), Decimal('26188.59'), Decimal('26188.59'), Decimal('26188.590000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(20, 1696846228002, 9, 10, 2023, 0, Decimal('26188.59'), Decimal('26188.59'), Decimal('26188.59'), Decimal('26188.59'), Decimal('26188.590000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(21, 1696846229002, 9, 10, 2023, 0, Decimal('26199.12'), Decimal('26189.23'), Decimal('26199.12'), Decimal('26189.23'), Decimal('26199.120000000000'), 7, Decimal('0.05622'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
